Question Id,Correct Student R不是AI生成的tio,Ground truth
1,0.250877193,不是AI生成的
2,0.769973661,不是AI生成的
3,0.547933157,是AI生成的
4,0.620932278,是AI生成的
5,0.347405453,是AI生成的
6,0.342128408,是AI生成的
7,0.709762533,是AI生成的
8,0.408450704,是AI生成的
9,0.463908451,是AI生成的
10,0.448639157,不是AI生成的
11,0.684210526,是AI生成的
12,0.284210526,不是AI生成的
13,0.925503944,是AI生成的
14,0.926380368,不是AI生成的
15,0.690622261,是AI生成的
16,0.344434706,不是AI生成的
17,0.435964912,是AI生成的
18,0.689473684,不是AI生成的
19,0.701754386,不是AI生成的
20,0.814912281,不是AI生成的
21,0.5294635,不是AI生成的
22,0.766930519,是AI生成的
23,0.253298153,是AI生成的
24,0.582524272,是AI生成的
25,0.413580247,是AI生成的
26,0.452380952,不是AI生成的
27,0.624338624,是AI生成的
28,0.519400353,是AI生成的
29,0.423280423,是AI生成的
30,0.480141218,是AI生成的
31,0.576345984,是AI生成的
32,0.753751103,是AI生成的
33,0.657546337,是AI生成的
34,0.67961165,是AI生成的
35,0.880952381,是AI生成的
36,0.636684303,是AI生成的
37,0.593998235,是AI生成的
38,0.701676964,是AI生成的
39,0.812169312,是AI生成的
40,0.595238095,是AI生成的
